nodeid,date,num_people,userid,last_updated,last_retrieved,funding_amount
16abb45a-fb6b-4ce1-9fa0-da549d7a34ce,2015-12-01,200.0,11e94b02-a042-45c1-99d7-e84ad66ed4ef,2016-09-02 08:10:02,11:00:31,
16b200fd-c951-467f-97f2-60ce170d0ca4,2016-03-01,50.0,e8abe8a8-ba2b-4077-83f0-88802554d58c,2016-07-28 19:01:04,11:02:49,
171c45ea-b2d9-4847-a88d-bf243e9875f2,2016-03-01,10.0,1357b9c4-de75-4df5-ac69-16fa8925bf20,2016-08-03 08:27:59,11:00:33,
177f4451-6915-46dc-9fbf-0f004bc70974,2011-10-01,,7306136d-bf62-45a1-baf3-ee203de940a9,2016-09-01 14:45:45,11:01:23,10000.0
177f4451-6915-46dc-9fbf-0f004bc70974,2016-06-01,8.0,7306136d-bf62-45a1-baf3-ee203de940a9,2016-09-01 14:45:45,11:01:23,
18ce77d4-c0f5-4d88-a4bc-4421b7a14f42,2011-04-01,18.0,408d8ffe-7972-4f61-8f53-89abfadb3719,2016-07-26 08:48:39,11:00:59,11000.0
19526aab-73c4-4e6a-97eb-54c6f9a69c2a,2015-09-01,30000.0,fe3bdccb-aabc-497b-9123-a01ae6900999,2016-07-14 19:47:58,11:03:04,
19526aab-73c4-4e6a-97eb-54c6f9a69c2a,2015-11-01,40000.0,a356bd62-d95b-4102-a0ec-69d5af5b7bfc,2016-06-20 22:43:29,11:01:46,
1997a6b0-fb6b-4d5c-80b3-06a6d0fa9cd7,1991-12-01,20.0,ccf24a25-1776-44e4-a5e8-d9760a640f77,2016-08-18 12:09:57,11:02:25,
1af67e4a-5a98-460f-872a-c84c27ebfeae,2016-04-01,67.0,2e2b68b7-e5d2-428c-8868-95e07fbcaf92,2016-05-30 08:04:12,11:00:45,
1b17efb9-e1fb-49f8-8cf6-f1c1c91fde52,2012-09-01,2.0,4dc1436c-88e4-45a4-92a8-c4b90cdf30ed,2016-07-08 18:53:57,11:01:05,
1b17efb9-e1fb-49f8-8cf6-f1c1c91fde52,2016-05-01,30.0,67f2f506-e693-43a1-9392-632739ed7e8e,2016-06-20 07:42:52,11:01:18,
1b17efb9-e1fb-49f8-8cf6-f1c1c91fde52,2016-06-01,15.0,edfc5e46-3d98-49e6-b24f-a758e3259728,2016-06-20 09:09:41,11:02:55,
1b50ac7e-a154-43bc-89e5-bca8220e9183,2015-09-01,100.0,0fea6e41-5a77-4c60-b217-caca963551f7,2016-07-25 11:23:59,11:00:30,
1b510305-6b7a-4337-a43f-d5551123ebae,2016-03-01,20.0,c2e89f0b-70cb-4680-bcf4-e3f35e5fcf81,2016-05-24 18:06:35,11:02:07,
1c9fc4bb-e631-4411-b5d1-b861c8ba2964,1999-12-01,3.0,1a2952f3-56ca-430b-b574-5b092006a8cb,2016-06-13 09:26:03,11:00:36,
1c9fc4bb-e631-4411-b5d1-b861c8ba2964,2000-12-01,5.0,1a2952f3-56ca-430b-b574-5b092006a8cb,2016-06-13 09:26:03,11:00:36,
1c9fc4bb-e631-4411-b5d1-b861c8ba2964,2001-12-01,10.0,1a2952f3-56ca-430b-b574-5b092006a8cb,2016-06-13 09:26:03,11:00:36,
1c9fc4bb-e631-4411-b5d1-b861c8ba2964,2002-12-01,26.0,1a2952f3-56ca-430b-b574-5b092006a8cb,2016-06-13 09:26:03,11:00:36,
1d01c643-1e1d-4c7d-a53f-c42b6da34fd4,2014-12-01,5.0,8ce38e2e-1851-480f-b443-534513feba4d,2016-05-30 10:30:38,11:01:36,
1d01c643-1e1d-4c7d-a53f-c42b6da34fd4,2015-12-01,5.0,8ce38e2e-1851-480f-b443-534513feba4d,2016-05-30 10:30:38,11:01:36,
1d64506a-4047-469f-ab73-4ed7fa4239bb,2014-01-01,0.0,95199673-f35b-498c-9975-e3861f4b2038,2016-07-22 11:55:32,11:01:40,
1e339030-c3da-4791-906f-1a3d3a4ad72a,2014-10-01,1000.0,3417f1ac-0100-418f-809d-f96a809953bf,2016-05-24 18:06:35,11:00:51,
