"","to","from","label.x","major","last_updated.x","degree","date_end.x","host_role","date_start.x","num_connections","num_interactions","amount","founder_status","investment_type","job_level","job_function","X","userid","group","label.y","date_start.y","date_end.y","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated.y","last_retrieved"
"169","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","593c764b-d7f8-4ff8-8fc0-e2390086d2d9","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","technical",838,"c53759b3-29f7-49a5-868f-4aae22af4cbe","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-05 07:47:38","2016-10-24"
"170","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","593c764b-d7f8-4ff8-8fc0-e2390086d2d9","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","technical",358,"521fafbd-8146-4b9d-948c-8e737910bb56","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"171","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","e0b784f2-5c75-46cd-8e01-d8553f1cad20","founded","","2016-07-05 07:47:38","","","","",NA,NA,NA,"","","","both",838,"c53759b3-29f7-49a5-868f-4aae22af4cbe","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-05 07:47:38","2016-10-24"
"172","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","e0b784f2-5c75-46cd-8e01-d8553f1cad20","founded","","2016-07-05 07:47:38","","","","",NA,NA,NA,"","","","both",358,"521fafbd-8146-4b9d-948c-8e737910bb56","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"173","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","abd762ac-7279-4793-acb8-4d235601b66c","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","business",838,"c53759b3-29f7-49a5-868f-4aae22af4cbe","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-05 07:47:38","2016-10-24"
"174","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","abd762ac-7279-4793-acb8-4d235601b66c","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","business",358,"521fafbd-8146-4b9d-948c-8e737910bb56","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"175","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","112a7008-a0fd-427c-8a02-8c5c127aff3b","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","business",838,"c53759b3-29f7-49a5-868f-4aae22af4cbe","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-05 07:47:38","2016-10-24"
"176","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","112a7008-a0fd-427c-8a02-8c5c127aff3b","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","business",358,"521fafbd-8146-4b9d-948c-8e737910bb56","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"177","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","adb19918-aac2-4b17-92da-5e74b4cdb458","founded","","2016-07-05 07:47:38","","","","",NA,NA,NA,"","","","technical",838,"c53759b3-29f7-49a5-868f-4aae22af4cbe","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-05 07:47:38","2016-10-24"
"178","79bbdc39-adf8-4388-bddc-e6d0e726d5bf","adb19918-aac2-4b17-92da-5e74b4cdb458","founded","","2016-07-05 07:47:38","","","","",NA,NA,NA,"","","","technical",358,"521fafbd-8146-4b9d-948c-8e737910bb56","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2004-08-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"11-7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
