"","userid","nodeid","group","label","date_start","date_end","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated","last_retrieved"
"461","6b2c1275-40c5-498c-8e00-ddad436f0253","4f42bdd6-5c8c-47dc-bf4f-7b55d92e0245","location","FORUM DE BEIRUT EXPO JISR BEIRUT LEBANON","","","Jisr, Lebanon",33.8980865,35.5340004,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:50:43","2016-10-24"
"462","6b2c1275-40c5-498c-8e00-ddad436f0253","c6c53edd-667c-4c9f-8d4b-a8b90660b442","location","CHAMBER OF COMMERCE INDUSTRY AGRICULTURE OF TRIPOLI AND NORTH LEBANON BECHARA EL KHOURY TRIPOLI NORTH LEBANON","","","Bechara El Khoury, Tripoli, Lebanon",34.4283638,35.833622,"ChIJdzGbYrH2IRURhflavUvaOVM",NA,"Bechara El Khoury",NA,NA,"Lebanon","North","Tripoli","Tripoli","",NA,"","Tripoli",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:50:43","2016-10-24"
"463","6b2c1275-40c5-498c-8e00-ddad436f0253","bf299c69-8cb8-4138-a086-fdb71798bcc0","location","HABTOUR GRAND HOTEL SIN EL FIL MOUNT LEBANON LEBANON","","","Sin El Fil, Lebanon",33.8699684,35.5366859,"ChIJY2qHdroXHxURcfVQ2XSQjT8",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Sin El Fil","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:50:43","2016-10-24"
"464","6b2c1275-40c5-498c-8e00-ddad436f0253","888dc7b5-8dc1-4d1c-affe-5f5b0ddcf7c6","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:50:43","2016-10-24"
"465","6b2c1275-40c5-498c-8e00-ddad436f0253","1b2076e8-78ce-4460-a925-0717d9ef8dd4","location","SAFADI FOUNDATION TRIPOLI NORTH LEBANON","","","Maarad, Tripoli, Lebanon",34.4420204,35.821537,"ChIJz7p8kVbxIRURoIeULlTP34o",NA,"",NA,NA,"Lebanon","North","Qada'a Tarablus","Mina","",NA,"","Tripoli",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:50:43","2016-10-24"
"466","6bdf30c6-fa40-4aa3-92c4-4c9c89e4537a","110cc62f-9089-42c4-85a9-8c34b953211b","location","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","","",NA,"","Beirut",NA,NA,"","","","11-7503","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 10:03:32","2016-10-24"
"467","6bdf30c6-fa40-4aa3-92c4-4c9c89e4537a","199224ed-1991-4b34-b898-3642d86fd39f","person","BAABDA","","","Baabda, Lebanon",33.833797,35.544145,"ChIJqaVAZfIXHxUReIVYwvDZBR8",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Baabda","Baabda","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 10:03:32","2016-10-24"
"468","6c44bc32-8556-4773-a673-cc9464cb5e15","99065dcb-303f-48b8-bae6-3ec3d9c7b546","person","HAZMIEH","","","Hazmiyeh, Lebanon",33.8553409,35.5358859,"ChIJsY4FKZEXHxURDIkFFznrgDU",NA,"",NA,NA,"Lebanon","Mount Lebanon Governorate","Baabda","","",NA,"","Hazmiyeh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-01 12:24:28","2016-10-24"
"475","6dc7512b-3893-4df6-b752-8092db153e47","d70e76b5-acb9-480f-92ea-7aca178d9453","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 12:21:53","2016-10-24"
"476","6f0660c9-8d67-422e-b6cc-88d1cf768829","d1556a70-4054-4bd3-addf-e3a682017278","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 09:33:04","2016-10-24"
