userid,incorporation,bank,credit,funding,hiring,office,exit,comments,last_updated,last_retrieved
30bde91f-57fd-40df-a743-e5872824f23e,10.0,20.0,0.0,0.0,90.0,14.0,0.0,n/a,,2016-10-27 11:00:48.033046016
30c768ea-7ee3-47e2-8a9f-e24b6e5be6ad,14.0,7.0,1095.0,1095.0,365.0,7.0,2000.0,"Players in the ecosystem, eg incubators, hubs, accelerators etc should work together to build a stronger ecosystem rather than competing and dividing opportunites.",,2016-10-27 11:00:48.222987008
31aa72b2-1de5-4e48-a6a8-2f4d9427ef5b,5.0,2.0,1.0,30.0,10.0,5.0,0.0,no,,2016-10-27 11:00:48.771937024
32565e05-1c9f-4f51-9b33-9e1bd47f975f,30.0,1.0,30.0,180.0,30.0,30.0,0.0,,,2016-10-27 11:00:49.127892992
32c73fcf-f803-4240-9691-5b0743e48e18,303.0,3.0,90.0,90.0,7.0,14.0,0.0,no,,2016-10-27 11:00:49.441058048
32dd93f5-3159-4ed2-a0a1-466e30973b6d,60.0,30.0,60.0,120.0,30.0,15.0,700.0,,,2016-10-27 11:00:49.881936896
330cd436-1a1b-48b4-8cc4-716ab56c0cde,30.0,1.0,7.0,60.0,60.0,30.0,90.0,,,2016-10-27 11:00:50.392890112
337366f6-3a4a-4fd3-8652-c22a157d763c,45.0,5.0,30.0,120.0,21.0,21.0,600.0,,,2016-10-27 11:00:50.932038912
3417f1ac-0100-418f-809d-f96a809953bf,10.0,2.0,20.0,90.0,60.0,30.0,300.0,,,2016-10-27 11:00:51.361658880
3444b5e1-859e-43f6-86fb-c15de1aeea51,90.0,30.0,30.0,500.0,200.0,30.0,100.0,,,2016-10-27 11:00:51.691123968
3450c89b-7ca0-4c7f-9ac0-7b5331c52be2,30.0,1.0,120.0,180.0,30.0,60.0,0.0,no,,2016-10-27 11:00:51.923734016
34a57f2c-918d-4a58-aafd-92f295faf87f,180.0,90.0,90.0,90.0,30.0,365.0,1095.0,no,,2016-10-27 11:00:52.203834880
3571d30b-df80-471a-938b-83f7bd1d0c25,0.0,0.0,0.0,0.0,90.0,30.0,0.0,,,2016-10-27 11:00:52.586659072
35721ed3-24de-4778-b09d-e46afff5f6dd,7.0,1.0,180.0,120.0,7.0,30.0,730.0,no,,2016-10-27 11:00:53.746377984
35826031-6e9f-4670-918d-1aa068fa1aff,21.0,1.0,120.0,365.0,25.0,30.0,1095.0,none,,2016-10-27 11:00:53.994323968
3584131f-9d40-4846-b91a-220494448812,21.0,1.0,2000.0,2000.0,1.0,60.0,2000.0,n/a,,2016-10-27 11:00:54.152758016
35cb5d15-0ba4-4426-a4eb-49884d0e7ced,21.0,2.0,7.0,365.0,90.0,30.0,3650.0,Developers should make products that are interoperable.,,2016-10-27 11:00:54.448434944
3913cc8b-1369-4fc9-a3d3-f9cc20b97ef1,30.0,5.0,0.0,,,30.0,,,,2016-10-27 11:00:55.088108032
3919e4f2-60a1-4a53-9a3e-736b32a8fdb2,3.0,2.0,2.0,7.0,7.0,7.0,1.0,,,2016-10-27 11:00:55.290586112
39638c24-9ad0-48bf-a267-68069ee2b97a,90.0,4.0,730.0,180.0,7.0,30.0,3650.0,There is a need for more collaborations between players and sharing of resources,,2016-10-27 11:00:55.416555008
3972b9f3-d109-4fed-a8d7-23f0f1c47ff4,180.0,14.0,7.0,90.0,1.0,90.0,3650.0,NO,,2016-10-27 11:00:55.881977088
3993598a-87b2-443a-ab7c-678c989c4ad4,5.0,2.0,0.0,10.0,2.0,10.0,1.0,none,,2016-10-27 11:00:56.243480064
3a201f34-490a-4a7e-9f5a-926e846c8886,14.0,1.0,180.0,360.0,30.0,45.0,2035.0,no,,2016-10-27 11:00:56.508313088
3a966c06-cc5d-4187-aa8d-8b3463d56a9b,7.0,7.0,0.0,0.0,60.0,30.0,0.0,"To have a larger impact, business incubated in places like DTBi should be given the responsibility mentor other organizations",,2016-10-27 11:00:56.725143040
3c077ea0-2dde-4302-8974-c3398559b1f8,30.0,7.0,7.0,120.0,60.0,15.0,0.0,,,2016-10-27 11:00:57.351889920
3c8c63a7-c1bd-4621-84b3-22beee312482,15.0,1.0,30.0,365.0,30.0,60.0,1750.0,i believe that most of the money is spent on managerial fees rather than supporting the start-ups themselves.,,2016-10-27 11:00:57.705572096
3e264f59-f5a0-4adb-8fea-e03ff2ca0091,60.0,30.0,0.0,30.0,20.0,30.0,0.0,,,2016-10-27 11:00:58.166712064
3f5f4483-47a8-44b9-992a-3d47ee01bc1c,30.0,1.0,60.0,265.0,30.0,30.0,1095.0,None,,2016-10-27 11:00:58.596282880
3fbdb0d2-995f-46e1-82b0-44003fbb9434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2016-10-27 11:00:58.953558016
3fe6a21a-c23d-4723-b4f6-44a06a78959f,45.0,1.0,10.0,14.0,15.0,15.0,356.0,,,2016-10-27 11:00:59.099864064
408d8ffe-7972-4f61-8f53-89abfadb3719,14.0,7.0,360.0,178.0,14.0,30.0,3.0,,,2016-10-27 11:00:59.370936064
40fac33e-b5bc-4feb-a7c3-8e0fb27f7388,14.0,5.0,180.0,180.0,14.0,5.0,0.0,,,2016-10-27 11:00:59.834336000
417045da-232a-4fd9-ae37-aa9023cef832,30.0,1.0,180.0,365.0,30.0,60.0,365.0,"Yes I do, the ecosystem idea for me now 6 years after i launched my company is an advertising tool to raise more money; we are at the very beginning of building a real ecosystem.",,2016-10-27 11:01:00.122732032
434b0a4f-3fb1-43d2-8b4d-ac2ebf47de9d,180.0,30.0,2000.0,90.0,1000.0,120.0,3400.0,,,2016-10-27 11:01:00.582564096
445f04ed-ff56-4df1-9454-e2a78707168e,180.0,21.0,90.0,90.0,30.0,7.0,1800.0,To startups is that it is important to understand the culture and to cope with the environment,,2016-10-27 11:01:00.876698880
45d9c126-e436-404c-943e-fe382bd57c1f,30.0,12.0,365.0,365.0,30.0,180.0,60.0,no,,2016-10-27 11:01:01.164162048
47be4b13-7b05-4957-89da-aaf388cfec91,15.0,10.0,1000.0,200.0,30.0,22.0,2000.0,Ecosystem finally growing in Beirut. Circular 331 took a long time to kick in but finally can see change/ results. Primarily banks/ bank partners (VC affiliate firms) understanding gist 331. I am optimistic.,,2016-10-27 11:01:01.672410880
488e49d7-30f5-4613-b2e0-edb791ed4771,1.0,2.0,180.0,3650.0,1095.0,7.0,1460.0,I have lived to see Tanzanian Individuals who are very creative and who posses very productive and unique Ideas but what they lack in there fields is Funding and  Business Knowledge.,,2016-10-27 11:01:02.346244096
49f89dfe-9d0f-491e-b443-479c63f385f0,10.0,10.0,30.0,180.0,30.0,30.0,1000.0,,,2016-10-27 11:01:03.024879104
4b5ca0da-6d85-4958-853d-ee3d1171e291,10.0,1.0,7.0,90.0,14.0,30.0,10.0,,,2016-10-27 11:01:03.504465920
4b7695be-13c0-40d0-85ba-7353e6bca8bd,21.0,1.0,30.0,180.0,14.0,14.0,1095.0,none,,2016-10-27 11:01:03.567827968
