userid,edgeid,from,to,label,founder_status,date_start,date_end,degree,major,job_level,job_function,num_interactions,num_connections,host_role,investment_type,amount,last_updated,last_retrieved
2799f22b-bae6-4fc8-ae98-1f6585019421,1e0893a2-c310-4f18-b721-ac1a6289679e,be66b558-9236-48b7-a388-b0141a304686,c3edd7fe-caba-4cca-8c95-0184cf6efe8e,inspired,,2016-01-01 00:00:00.000000000,,,,,,,,,,,,2016-10-27 11:00:41.292104960
2799f22b-bae6-4fc8-ae98-1f6585019421,77911215-e32d-411f-a81f-a9a32d17202e,c3edd7fe-caba-4cca-8c95-0184cf6efe8e,7eeee67e-5402-4101-a698-f15d3f9a5bb4,studied at,,2010-10-01 00:00:00.000000000,2013-06-01 00:00:00.000000000,bachelor,other,,,,,,,,,2016-10-27 11:00:41.292104960
2799f22b-bae6-4fc8-ae98-1f6585019421,797f52e8-597c-4d92-a750-2369e6d4687e,c3edd7fe-caba-4cca-8c95-0184cf6efe8e,ef9e62af-87c5-4ef1-96d5-f42545de6b7e,member of,,2014-02-01 00:00:00.000000000,,,,,,1.0,,,,,,2016-10-27 11:00:41.292104960
2799f22b-bae6-4fc8-ae98-1f6585019421,98cceaef-9099-4597-bad6-a450997bd557,c3edd7fe-caba-4cca-8c95-0184cf6efe8e,a4e680a4-db5f-45bf-b4dc-2755eaefbc5e,founded,,,,,,,business,,,,,,,2016-10-27 11:00:41.292104960
291596df-81e4-4388-9854-9a887ecd4f9e,e8cbd19d-e52d-4bba-9d13-360004db9a43,0590b7cb-4911-4c99-afa3-e8b87ba9ef08,5dccd1ec-6874-4de7-906e-45f549926c57,founded,,,,,,,business,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,a4db5310-756d-4217-ab82-d35646d441d0,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,eaaa7b9a-9168-49f3-b2be-880ec3cea3e3,founded,,,,,,,technical,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,6c9b253c-ac38-4986-8573-c6c06d1e7199,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,5dccd1ec-6874-4de7-906e-45f549926c57,founded,,,,,,,technical,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,3aa4666e-2ed7-4121-a4c3-216c5571b6c0,a2e80e73-64c3-4223-b034-6c9655743554,eaaa7b9a-9168-49f3-b2be-880ec3cea3e3,founded,,,,,,,business,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,e3b713f4-f2f9-4862-892f-998abfbb839c,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,1edf3824-2883-417b-ab19-bcaf3624b5ef,studied at,,2011-09-01 00:00:00.000000000,2013-07-01 00:00:00.000000000,master,engineering,,,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,f2ddeb7f-71a9-4b45-96ec-b9f46122c8c4,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,cddf96d5-22aa-44bb-8e52-0fce7166bc96,attended,,,,,,,,,5.0,,,,,2016-10-27 11:00:41.678515968
