userid,supportdev,smartmoney,startupcreation,fosteringedu,changeculture,fundingimpact,supportimpact,last_updated,last_retrieved
c2a937e1-6019-43b3-a3c8-1e4aabd45599,3,2,3,3,4,0,Yes,,2016-10-27 11:02:05.000567040
c2bce788-d1b3-47f9-b3bb-d2725add0105,3,4,4,4,5,No,Yes,,2016-10-27 11:02:05.877801984
c324270b-4ada-4f43-963d-7ba729e97ea5,4,3,4,3,2,No,Yes,,2016-10-27 11:02:08.072686080
c3412270-f1b3-4aed-b182-1d2c5aaa1904,3,3,3,3,3,No,No,,2016-10-27 11:02:09.249821952
c48edf59-9907-46f4-8a7e-849ba3701bcd,2,2,2,2,2,No,No,,2016-10-27 11:02:10.199495936
c4a241f9-3c1a-4982-adde-68ba8199cd9d,4,3,4,3,3,0,0,,2016-10-27 11:02:11.618288128
c501a657-05fb-434f-8cc6-93dd8588bacf,,,,,,,,,2016-10-27 11:02:14.359471104
c53759b3-29f7-49a5-868f-4aae22af4cbe,4,4,4,3,5,No,No,,2016-10-27 11:02:14.941959936
c64f4f46-e985-44a8-9129-5eb103e88875,4,5,4,2,3,Yes,Yes,,2016-10-27 11:02:17.491566080
c7915f73-ddcc-4321-a0a8-beb170b75114,5,4,5,3,5,Yes,Yes,,2016-10-27 11:02:19.428359936
c8204ca1-15fc-4156-9a47-ca44dd57a42e,0,0,0,0,0,0,0,,2016-10-27 11:02:20.736536064
c958e24b-1dfa-498b-ba17-4155a102967b,4,4,5,5,4,Yes,Yes,,2016-10-27 11:02:21.007556096
c9af80a5-779f-4d6f-b8ba-622bac892fbd,,,,,,,,,2016-10-27 11:02:21.415301888
cbe12f2d-cbf7-414e-a151-7a92d1961d6c,4,1,3,3,4,No,No,,2016-10-27 11:02:24.497934080
ce4667ed-2a2d-498c-ab4e-1a811d590948,0,0,0,0,0,No,Yes,,2016-10-27 11:02:27.640018944
d2654586-82fe-4528-81bc-b576ba8ad838,0,1,1,1,1,Yes,0,,2016-10-27 11:02:35.678979072
d57ef2f6-7b0f-47c1-bfd0-91cf5231c712,4,3,2,4,3,0,Yes,,2016-10-27 11:02:37.355886080
d59e5e48-c710-46a0-b82b-e39a6f43c0d1,5,3,4,3,3,0,No,,2016-10-27 11:02:37.673840128
d997e48d-2d6e-430d-9dd6-43110b602c23,0,0,3,3,2,Yes,Yes,,2016-10-27 11:02:40.126989056
dc54bdb8-7ea1-4999-8c4c-9bc185809783,0,0,0,0,0,0,0,,2016-10-27 11:02:41.020051968
dcf3e5ce-c9e8-431e-8014-a36c51b75b67,3,3,0,5,5,No,No,,2016-10-27 11:02:42.069581056
dedc6fdf-19b1-40a6-982f-1c237f831f40,4,3,5,4,4,No,Yes,,2016-10-27 11:02:42.833149952
e1813f3d-5b07-40df-977d-63de1577c6f6,3,3,3,2,3,Yes,0,,2016-10-27 11:02:44.032958976
e1dfa12d-bea3-4222-b887-cbcb56527c8e,3,3,3,3,3,0,0,,2016-10-27 11:02:45.139791104
e3e9147e-a008-4451-900d-3b18ee941aa2,0,0,0,0,0,0,0,,2016-10-27 11:02:46.091437056
e42f4dee-8142-4fcd-adf1-f01cb8af57c0,0,0,2,2,2,No,No,,2016-10-27 11:02:46.352515072
e487a188-8b68-4bac-ab5d-53d91cd66f8d,0,0,0,0,0,0,0,,2016-10-27 11:02:47.017403904
eb5b5e69-4410-4442-be1f-05291bee5600,1,1,1,1,1,No,No,,2016-10-27 11:02:51.138456064
