userid,nodeid,date,num_people,funding_amount,last_updated,last_retrieved
a04ebd0a-36cd-408c-80b7-be9742b73c58,9095164a-b465-4ad8-85ee-04d484d21909,2015-12-01 00:00:00.000000000,6.0,,,2016-10-27 11:01:44.369615104
a04ebd0a-36cd-408c-80b7-be9742b73c58,6faec310-df05-483a-a1c9-2926fe783145,2015-12-01 00:00:00.000000000,2000.0,,,2016-10-27 11:01:44.369615104
a0884964-c996-4c58-8335-d21acaf73580,aff1773d-eaad-4555-a48c-7058e429c5b9,2013-03-01 00:00:00.000000000,10000.0,,,2016-10-27 11:01:44.820121088
a30dd7de-dec2-482b-bfd4-6a9c43203bb6,14b13249-87b1-4ff5-a68a-b7f7f1e3365c,2015-12-01 00:00:00.000000000,200.0,,,2016-10-27 11:01:45.150969088
a30dd7de-dec2-482b-bfd4-6a9c43203bb6,81c066f6-cea0-4cd5-ae60-c5b620aca022,2014-10-01 00:00:00.000000000,,91000.0,,2016-10-27 11:01:45.150969088
a30dd7de-dec2-482b-bfd4-6a9c43203bb6,81c066f6-cea0-4cd5-ae60-c5b620aca022,2016-05-01 00:00:00.000000000,,450000.0,,2016-10-27 11:01:45.150969088
a30dd7de-dec2-482b-bfd4-6a9c43203bb6,81c066f6-cea0-4cd5-ae60-c5b620aca022,2014-08-01 00:00:00.000000000,16.0,,,2016-10-27 11:01:45.150969088
a356bd62-d95b-4102-a0ec-69d5af5b7bfc,0b7d20a8-6fcd-40dc-9107-96e03ac07244,2015-11-01 00:00:00.000000000,40000.0,,,2016-10-27 11:01:45.705163008
a3c4be9d-83b0-4f7d-a784-caa311bc7138,6fa48503-c1b7-4b8c-80a8-9b41a81bf598,2016-03-01 00:00:00.000000000,1500.0,,,2016-10-27 11:01:45.998573056
a3c4be9d-83b0-4f7d-a784-caa311bc7138,5d2c1e63-7a75-421b-8eeb-0997d4b2c076,2015-12-01 00:00:00.000000000,3.0,,,2016-10-27 11:01:45.998573056
a4b929d5-d6d1-455a-bed9-44a50c8b2094,9809f167-48e0-4ed9-aa7e-7ba69af5e0b8,2016-05-01 00:00:00.000000000,300.0,,,2016-10-27 11:01:46.518340096
a4b929d5-d6d1-455a-bed9-44a50c8b2094,bb39a9fb-1c2d-47c6-8b24-e0ac6394dbb4,2015-09-01 00:00:00.000000000,50.0,,,2016-10-27 11:01:46.518340096
a62e32d4-948a-497a-8431-736cd0a8d81e,e740034f-0584-43b5-8385-2de08658b3fc,2016-04-01 00:00:00.000000000,,3800.0,,2016-10-27 11:01:46.991896064
a62e32d4-948a-497a-8431-736cd0a8d81e,4ee90c29-63ab-44cd-af9a-30c3a44b6cd0,2016-05-01 00:00:00.000000000,600.0,,,2016-10-27 11:01:46.991896064
a747f7ed-0a66-44bd-85a2-3dc11cb2eb57,8ca028d9-56e5-41de-953b-d19c3f971c42,2015-11-01 00:00:00.000000000,5000.0,,,2016-10-27 11:01:47.397602048
a747f7ed-0a66-44bd-85a2-3dc11cb2eb57,a6b259b8-4773-41dc-81d2-2ab71b78a5e0,2014-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:47.397602048
a747f7ed-0a66-44bd-85a2-3dc11cb2eb57,a6b259b8-4773-41dc-81d2-2ab71b78a5e0,2015-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:47.397602048
