"userid","nodeid","date",num_people,funding_amount,"last_updated","last_retrieved"
"352f69a7-194b-409f-a2f7-5d800ef6c39a","6c2cc26b-a264-4c3b-9045-c15d61ebc919","2015-12-01",2,,"2016-05-24 18:06:35","11:00:52"
"352f69a7-194b-409f-a2f7-5d800ef6c39a","6c2cc26b-a264-4c3b-9045-c15d61ebc919","2016-03-01",2,,"2016-05-24 18:06:35","11:00:52"
"3571d30b-df80-471a-938b-83f7bd1d0c25","6616d0f7-d4d5-476a-b839-bbcb4484d4f0","2014-11-01",3000,,"2016-07-15 08:39:11","11:00:53"
"3571d30b-df80-471a-938b-83f7bd1d0c25","80038f8a-a717-459f-af53-d43f568cb0fc","2013-05-01",1500,,"2016-07-15 08:39:11","11:00:53"
"3584131f-9d40-4846-b91a-220494448812","15a284a8-42ab-4ffc-a730-d76c3acfc9a7","2005-12-01",1,,"2016-08-02 08:27:26","11:00:54"
"3584131f-9d40-4846-b91a-220494448812","15a284a8-42ab-4ffc-a730-d76c3acfc9a7","2006-12-01",6,,"2016-08-02 08:27:26","11:00:54"
"35cb5d15-0ba4-4426-a4eb-49884d0e7ced","3350630d-7d60-4652-9964-1f1d5555196a","2015-11-01",500,,"2016-08-04 13:11:00","11:00:54"
"38a1fe19-7318-4158-9d12-30cdb0cbe127","8704497d-093c-4347-a0af-7afbfc22064e","2016-04-01",,30000,"2016-05-27 09:55:59","11:00:55"
"39638c24-9ad0-48bf-a267-68069ee2b97a","2a71bc7c-b236-4d6b-83a8-396511b4b7b2","2016-01-01",3,,"2016-08-17 18:55:43","11:00:55"
"39638c24-9ad0-48bf-a267-68069ee2b97a","51186f19-be44-4863-a3c1-b31bf1882110","2016-07-01",400,,"2016-08-17 18:55:43","11:00:55"
"39638c24-9ad0-48bf-a267-68069ee2b97a","92ef379f-0e4a-4147-95e3-4cad32302e07","2014-07-01",12,,"2016-08-17 18:55:43","11:00:55"
"39638c24-9ad0-48bf-a267-68069ee2b97a","f726057c-2a8a-415a-9ef3-c0a4077855d9","2014-01-01",20,,"2016-08-17 18:55:43","11:00:55"
"3972b9f3-d109-4fed-a8d7-23f0f1c47ff4","4fb43a0f-fcb5-45ee-bbfe-fe2edcb3830a","2016-01-01",3,,"2016-08-17 17:03:40","11:00:56"
"3972b9f3-d109-4fed-a8d7-23f0f1c47ff4","bf6e628b-037f-4c76-b206-26a4ce7bb113","2013-05-01",500,,"2016-08-17 17:03:40","11:00:56"
"3972b9f3-d109-4fed-a8d7-23f0f1c47ff4","355a253f-4cd7-4174-9a73-7c7575ea9216","2016-05-01",300,,"2016-08-17 17:03:40","11:00:56"
"3993598a-87b2-443a-ab7c-678c989c4ad4","b19a5a2b-98b2-4eb9-9457-af420275fc59","2015-01-01",,500,"2016-08-17 16:02:14","11:00:56"
"3993598a-87b2-443a-ab7c-678c989c4ad4","b19a5a2b-98b2-4eb9-9457-af420275fc59","2016-12-01",3,,"2016-08-17 16:02:14","11:00:56"
"3a201f34-490a-4a7e-9f5a-926e846c8886","9e205211-446e-4420-aace-0edc9c103a1d","2016-06-01",,10000,"2016-09-01 07:07:35","11:00:57"
