"userid",supportdev,smartmoney,startupcreation,fosteringedu,changeculture,"fundingimpact","supportimpact","last_updated","last_retrieved"
"948a9ffc-8441-4ef6-906d-8d62c5fa42b7",4,3,4,3,4,"Yes","Yes","2016-06-21 07:09:22","11:01:40"
"94bb597b-fb77-4394-83cf-d75aa92ad235",4,5,5,3,2,"0","Yes","2016-07-25 09:14:30","11:01:40"
"95844936-77b3-41de-99d6-93eafd799de4",4,3,4,3,4,"0","Yes","2016-06-16 08:42:10","11:01:41"
"9b91968d-e650-4e65-b9e0-e83f434f1eab",5,4,3,4,5,"0","0","2016-05-31 09:07:25","11:01:42"
"9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b",3,3,4,2,3,"Yes","No","2016-06-14 10:03:55","11:01:43"
"9f3a679b-1cc6-4777-8d22-0bac96eb5f5e",0,0,0,0,0,"0","0","2016-07-14 13:03:53","11:01:44"
"a04ebd0a-36cd-408c-80b7-be9742b73c58",4,2,3,0,4,"No","Yes","2016-07-08 13:03:41","11:01:44"
"a747f7ed-0a66-44bd-85a2-3dc11cb2eb57",4,3,4,3,4,"No","Yes","2016-05-24 18:06:35","11:01:47"
"a965a09f-2920-4ff6-aa7a-40075ecde0c3",4,4,4,5,4,"No","Yes","2016-07-29 10:38:07","11:01:48"
"aff17f10-e9da-449c-a661-fdb2d3029b28",5,4,4,5,4,"No","Yes","2016-07-14 05:18:58","11:01:50"
"b02f68f1-3dce-4590-ab01-a472ba6d6b14",5,5,5,5,5,"Yes","Yes","2016-05-30 13:48:46","11:01:51"
"b6a7d978-9a7f-4c22-8554-8eaac8dc620b",4,4,4,2,2,"No","0","2016-05-31 07:46:22","11:01:55"
"b83d19de-c412-4b2d-b515-68aa538d0d76",3,2,4,5,2,"No","No","2016-07-26 08:07:29","11:01:56"
"b937fe83-256a-44a5-9c78-51c7dc73b32a",3,4,5,3,4,"Yes","0","2016-06-20 11:48:33","11:01:57"
"bac08cb7-c5c4-4f64-84f1-ac4423be4cd5",5,4,4,4,4,"No","No","2016-05-31 13:58:40","11:01:58"
"bb78c124-3f42-43a9-b2df-a2c1a01f937b",4,1,4,5,3,"Yes","Yes","2016-06-13 08:05:37","11:01:58"
"bc7a703a-3b5b-4346-afe0-ce30fdb0aeb3",2,3,3,2,2,"Yes","No","2016-06-08 10:48:05","11:02:01"
"bd2e6487-cfc0-4a11-849f-ca38a7ff5c8f",5,4,3,3,2,"Yes","Yes","2016-06-14 09:54:52","11:02:02"
"c2a937e1-6019-43b3-a3c8-1e4aabd45599",3,2,3,3,4,"0","Yes","2016-05-31 11:54:45","11:02:05"
"c2bce788-d1b3-47f9-b3bb-d2725add0105",3,4,4,4,5,"No","Yes","2016-07-08 12:56:38","11:02:06"
"c324270b-4ada-4f43-963d-7ba729e97ea5",4,3,4,3,2,"No","Yes","2016-07-30 06:26:57","11:02:08"
"c3412270-f1b3-4aed-b182-1d2c5aaa1904",3,3,3,3,3,"No","No","2016-07-08 14:00:47","11:02:09"
"c48edf59-9907-46f4-8a7e-849ba3701bcd",2,2,2,2,2,"No","No","2016-08-26 15:57:24","11:02:10"
"c4a241f9-3c1a-4982-adde-68ba8199cd9d",4,3,4,3,3,"0","0","2016-07-15 06:54:17","11:02:12"
"c501a657-05fb-434f-8cc6-93dd8588bacf",,,,,,"","","2016-06-20 08:52:07","11:02:14"
"c53759b3-29f7-49a5-868f-4aae22af4cbe",4,4,4,3,5,"No","No","2016-07-05 07:47:38","11:02:15"
"c64f4f46-e985-44a8-9129-5eb103e88875",4,5,4,2,3,"Yes","Yes","2016-07-14 08:29:24","11:02:17"
"c7915f73-ddcc-4321-a0a8-beb170b75114",5,4,5,3,5,"Yes","Yes","2016-06-13 12:47:35","11:02:19"
"c8204ca1-15fc-4156-9a47-ca44dd57a42e",0,0,0,0,0,"0","0","2016-06-14 17:41:20","11:02:21"
"c958e24b-1dfa-498b-ba17-4155a102967b",4,4,5,5,4,"Yes","Yes","2016-05-27 12:09:35","11:02:21"
"c9af80a5-779f-4d6f-b8ba-622bac892fbd",,,,,,"","","2016-09-30 20:52:34","11:02:21"
"cbe12f2d-cbf7-414e-a151-7a92d1961d6c",4,1,3,3,4,"No","No","2016-05-24 18:06:35","11:02:24"
"ce4667ed-2a2d-498c-ab4e-1a811d590948",0,0,0,0,0,"No","Yes","2016-05-25 14:31:34","11:02:28"
"d2654586-82fe-4528-81bc-b576ba8ad838",0,1,1,1,1,"Yes","0","2016-06-09 18:26:31","11:02:36"
"d57ef2f6-7b0f-47c1-bfd0-91cf5231c712",4,3,2,4,3,"0","Yes","2016-05-24 18:06:35","11:02:37"
"d59e5e48-c710-46a0-b82b-e39a6f43c0d1",5,3,4,3,3,"0","No","2016-06-24 10:48:22","11:02:38"
"d997e48d-2d6e-430d-9dd6-43110b602c23",0,0,3,3,2,"Yes","Yes","2016-06-09 16:10:31","11:02:40"
"dc54bdb8-7ea1-4999-8c4c-9bc185809783",0,0,0,0,0,"0","0","2016-05-30 10:51:05","11:02:41"
"dcf3e5ce-c9e8-431e-8014-a36c51b75b67",3,3,0,5,5,"No","No","2016-06-14 07:31:28","11:02:42"
"dedc6fdf-19b1-40a6-982f-1c237f831f40",4,3,5,4,4,"No","Yes","2016-07-14 15:24:28","11:02:43"
"e1813f3d-5b07-40df-977d-63de1577c6f6",3,3,3,2,3,"Yes","0","2016-07-25 10:57:48","11:02:44"
"e1dfa12d-bea3-4222-b887-cbcb56527c8e",3,3,3,3,3,"0","0","2016-06-14 13:04:05","11:02:45"
"e3e9147e-a008-4451-900d-3b18ee941aa2",0,0,0,0,0,"0","0","2016-06-20 10:23:24","11:02:46"
"e487a188-8b68-4bac-ab5d-53d91cd66f8d",0,0,0,0,0,"0","0","2016-06-22 09:15:20","11:02:47"
"eb5b5e69-4410-4442-be1f-05291bee5600",1,1,1,1,1,"No","No","2016-07-31 14:39:58","11:02:51"
"ecb7a881-a176-4edb-899f-f4b65cdcab3b",3,4,4,2,4,"0","0","2016-07-27 13:12:33","11:02:52"
"edfc5e46-3d98-49e6-b24f-a758e3259728",4,4,5,5,5,"No","Yes","2016-06-20 09:09:41","11:02:55"
"f3ad993e-5725-4e36-8fa2-82f7f74b89e5",4,4,3,3,3,"No","No","2016-06-20 10:55:42","11:02:56"
"f417947b-5fa1-4a0e-baad-ffc21122be9f",4,0,4,0,5,"Yes","0","2016-07-12 20:30:05","11:02:57"
"f5d7f6a5-2fbc-464e-9919-0c1969c571e7",4,3,4,3,4,"Yes","Yes","2016-07-05 08:08:18","11:02:58"
"f62fdcad-6615-4fee-a441-78db9652eeb2",,,,,,"","","2016-07-25 12:11:47","11:02:58"
"fa1271aa-e8e9-4bf1-9c7a-f0692ea837f7",5,5,5,5,3,"Yes","Yes","2016-05-31 12:03:48","11:03:01"
"fc0839b6-f87e-48dd-8998-267910021daf",0,0,0,0,0,"0","0","2016-07-29 10:44:36","11:03:02"
"fd9ac93d-9a42-4a5a-9848-5443ea6b05e8",5,5,5,5,5,"Yes","Yes","2016-09-28 06:32:46","11:03:03"
"fe3bdccb-aabc-497b-9123-a01ae6900999",5,2,5,5,5,"No","Yes","2016-07-14 19:47:58","11:03:04"
"fe4113b7-8c52-4bb9-a6c0-5649a69237d7",1,1,2,2,2,"No","No","2016-05-24 18:06:35","11:03:04"
